=== A2: 8 frames/span, 5 spans/call (40 images/call - same as baseline) ===
  pp_noodles     spans  19- 19 ->  1 captions  (input_tokens=1718, output_tokens=57, n_images=4)
  pp_noodles     spans  20- 20 ->  0 captions  (input_tokens=1725, output_tokens=17, n_images=4)
  pp_noodles     spans  21- 21 ->  1 captions  (input_tokens=1719, output_tokens=58, n_images=4)
  pp_noodles     spans  22- 22 ->  1 captions  (input_tokens=1719, output_tokens=58, n_images=4)
  pp_noodles     spans  23- 23 ->  1 captions  (input_tokens=1720, output_tokens=59, n_images=4)
  pp_noodles     spans  24- 24 ->  0 captions  (input_tokens=1724, output_tokens=16, n_images=4)
  pp_noodles     spans  25- 25 ->  0 captions  (input_tokens=1727, output_tokens=16, n_images=4)
  pp_noodles     spans  26- 26 ->  0 captions  (input_tokens=1718, output_tokens=16, n_images=4)
  pp_noodles     spans  27- 27 ->  1 captions  (input_tokens=1717, output_tokens=58, n_images=4)
  pp_noodles     spans  28- 28 ->  0 captions  (input_tokens=1724, output_tokens=19, n_images=4)
  pp_noodles     spans  29- 29 ->  0 captions  (input_tokens=1718, output_tokens=16, n_images=4)
  pp_noodles     spans  30- 30 ->  0 captions  (input_tokens=1718, output_tokens=16, n_images=4)
  pp_noodles     spans  31- 31 ->  0 captions  (input_tokens=1724, output_tokens=18, n_images=4)
  np_storagebox  spans   0-  0 ->  1 captions  (input_tokens=1626, output_tokens=52, n_images=4)
  np_storagebox  spans   1-  1 ->  1 captions  (input_tokens=1654, output_tokens=52, n_images=4)
  np_storagebox  spans   2-  2 ->  0 captions  (input_tokens=1668, output_tokens=17, n_images=4)
  np_storagebox  spans   3-  3 ->  1 captions  (input_tokens=1668, output_tokens=55, n_images=4)
  np_storagebox  spans   4-  4 ->  1 captions  (input_tokens=1683, output_tokens=56, n_images=4)
  np_storagebox  spans   5-  5 ->  1 captions  (input_tokens=1705, output_tokens=54, n_images=4)
  np_storagebox  spans   6-  6 ->  0 captions  (input_tokens=1707, output_tokens=19, n_images=4)
  np_storagebox  spans   7-  7 ->  0 captions  (input_tokens=1707, output_tokens=14, n_images=4)
  np_storagebox  spans   8-  8 ->  0 captions  (input_tokens=1708, output_tokens=15, n_images=4)
  np_storagebox  spans   9-  9 ->  0 captions  (input_tokens=1701, output_tokens=14, n_images=4)
  np_storagebox  spans  10- 10 ->  1 captions  (input_tokens=1713, output_tokens=52, n_images=4)
  np_storagebox  spans  11- 11 ->  0 captions  (input_tokens=1708, output_tokens=18, n_images=4)
  np_storagebox  spans  12- 12 ->  1 captions  (input_tokens=1702, output_tokens=56, n_images=4)
  np_storagebox  spans  13- 13 ->  1 captions  (input_tokens=1702, output_tokens=54, n_images=4)
